original	foreign
restaurant	restaurante
park	parque
bug	error
phone	teléfono
casino	casino
calendar	calendario
skin	la piel
album	álbum
professor	profesor
road	por carretera
football	fútbol
bikini	bikini
path	camino
electron	de electrones
stream	corriente
field	campo
incident	incidente
election	elecciones
hair	cabello
lingerie	lencería
teacher	maestro
officer	oficial
kitchen	cocina
life	la vida
TV	TV
school	la escuela
island	isla
stuff	cosas
topic	tema
node	nodo
transition	transición
middle	media
bed	cama
