original	foreign
room	camera
hurricane	uragano
stamp	francobollo
bullet	bullet
brain	cervello
figure	figura
window	finestra
disc	disco
pole	polo
toilet	WC
world	mondo
camera	macchina fotografica
target	target
situation	situazione
heart	cuore
smiley	smiley
organization	organizzazione
photographer	fotografo
bus	bus
model	modello
logo	logo
family	famiglia
pond	stagno
destination	destinazione
letter	lettera
brand	marca
region	regione
defect	difetto
hat	cappello
sword	spada
sin	peccato
bottle	bottiglia
bell	campana
element	elemento
quantum	quantistico
page	Pagina
flame	fiamma
partition	partizione
point	punto
cell	cella
CD	CD
murder	omicidio
orange	arancione
nucleus	nucleo
wheel	ruota
photo	foto
event	evento
tank	serbatoio
candidate	candidato
shoe	scarpa
storm	tempesta
haven	rifugio
clip	clip
leg	gamba
underwear	biancheria intima
table	tavolo
moment	momento
leader	leader
sun	sole
journey	viaggio
tongue	lingua
outfit	attrezzatura
non	non
wall	muro
economy	economia
farm	fattoria
universe	universo
sub	sub
pantyhose	collant
artwork	opere de arte
artist	artista
place	posto
town	città
crowd	folla
profession	professione
area	area
surface	superficie
entity	entità
garden	giardino
writer	scrittore
battery	batteria
secretary	segretario
soul	anima
wound	ferita
crack	crack
book	libro
institution	istituzione
dream	sogno
father	padre
computer	computer
hip	anca
finger	dito
interval	intervallo
mouth	bocca
section	sezione
crystal	di cristallo
box	scatola
phenomenon	fenomeno
com	com
aircraft	aeromobili
printer	stampante
door	porta
pre	pre
edge	bordo
rock	rock
camp	campo
guitar	chitarra
word	parola
corporation	società
career	carriera
cream	crema
community	comunità
sailing	vela
lifetime	vita
body	corpo
image	image
piano	pianoforte
curve	curva
epidemic	epidemia
era	epoca
con	con
sequence	sequenza
slide	diapositiva
classroom	aula
culture	cultura
plate	Piastra
head	testa
vehicle	veicolo
grid	griglia
lawyer	avvocato
industry	industria
film	film
self	auto
student	studente
ear	orecchio
pleasure	piacere
cup	coppa
mirror	specchio
gel	gel
village	villaggio
device	dispositivo
band	banda
university	università
fire	fuoco
pattern	modello
television	televisione
thing	cosa
button	pulsante
ad	annuncio
segment	segmento
sport	sport
tumor	tumore
reality	realtà
graph	grafico
rat	ratto
line	linea
restaurant	ristorante
park	parco
bug	bug
phone	telefono
casino	casinò
calendar	calendario
skin	pelle
album	album
professor	professore
road	strada
football	calcio
bikini	bikini
path	percorso
electron	elettrone
stream	stream
field	campo
incident	incidente
election	elezione
hair	capelli
lingerie	biancheria intima
teacher	insegnante
officer	ufficiale
kitchen	cucina
life	vita
TV	TV
school	scuola
island	isola
stuff	roba
topic	argomento
node	nodo
transition	transizione
middle	mezzo
bed	letto
