original	foreign
infant	zuigeling
mural	muurschildering
fairy	fee
chick	kuiken
pipe	pijp
kite	vlieger
celebrity	beroemdheid
slowdown	vertraging
mountain	bergen
landscape	landschap
volcano	vulkaan
house	huis
ghost	spook
animal	dierlijke
horse	paard
freeway	snelweg
clock	klok
goddess	godin
cake	Cake
face	gezicht
gun	geweer
warrior	krijger
politician	politicus
creature	schepsel
cavern	grot
tornado	tornado
diver	duiker
mushroom	paddestoel
atom	atoom
robbery	beroving
banana	banaan
puppet	marionet
economist	econoom
priest	priester
photograph	foto
ob	ob
fisherman	visser
goo	goo
plane	vliegtuig
beetle	kever
cop	politieagent
goat	geit
librarian	bibliothecaris
dude	dude
lake	meer
prisoner	gevangene
whale	walvis
car	auto
ship	schip
truck	vrachtwagen
slice	plak
toddler	kleuter
couple	paar
athlete	atleet
fish	vis
bat	vleermuis
character	karakter
bicycle	fiets
eye	oog
cucumber	komkommer
bridge	brug
sheep	schapen
leaf	blad
fountain	fontein
wizard	wizard
lock	slot
cigarette	sigaret
lamb	lam
continent	continent
folder	map
mother	moeder
arrow	arrow
monster	monster
cutie	cutie
society	de samenleving
poster	poster
building	gebouw
bomb	bom
item	item
plump	mollig
necklace	collier
rectangle	rechthoek
rebel	rebel
picture	foto
sample	monster
cheerleader	cheerleader
mouse	muis
train	trein
river	rivier
ruler	liniaal
motorcycle	motorfiets
molecule	molecuul
map	kaart
sign	Registreer
city	stad
boat	boot
snow	sneeuw
document	document
hero	held
temple	tempel
church	kerk
dancer	danser
backdrop	achtergrond
pitcher	werper
nation	natie
disk	schijf
hand	de hand
spiral	spiraal
cloud	wolk
chair	stoel
quilt	quilt
crown	kroon
beach	strand
nail	nagel
vertex	toppunt
chicken	kip
flag	vlag
egg	ei
ladder	ladder
lamp	lamp
organisation	organisatie
diffraction	diffractie
street	Street
scream	schreeuw
knife	mes
tomato	tomaat
bride	bruid
passport	paspoort
friend	vriend
robot	robot
company	bedrijf
landmark	landmark
neighborhood	wijk
plant	plantaardige
gentleman	gentleman
product	product
teenager	tiener
organ	orgel
king	koning
signature	handtekening
mask	masker
particle	deeltje
seal	zeehond
lemon	citroen
lip	lip
bike	fiets
actor	acteur
helicopter	helikopter
enemy	vijand
ball	bal
country	land
hole	gat
toy	speelgoed
totem	totem
forest	bos
fist	vuist
par	par
envelope	envelop
un	un
cottage	huisje
room	kamer
hurricane	orkaan
stamp	stempel
bullet	bullet
brain	hersenen
figure	Figuur
window	venster
disc	disc
pole	paal
toilet	toilet
world	wereld
camera	camera
target	streefcijfer
situation	situatie
heart	hart
smiley	smiley
organization	organisatie
photographer	fotograaf
bus	bus
model	model
logo	logo
family	familie
pond	vijver
destination	bestemming
letter	brief
brand	merk
region	regio
defect	defect
hat	hoed
sword	zwaard
sin	zonde
bottle	fles
bell	Bell
element	element
quantum	quantum
page	pagina
flame	vlam
partition	partitie
point	punt
cell	cel
CD	CD
murder	moord
orange	oranje
nucleus	kern
wheel	wiel
photo	foto
event	event
tank	tank
candidate	kandidaat-
shoe	schoen
storm	storm
haven	oase
clip	clip
leg	been
underwear	ondergoed
table	tafel
moment	moment
leader	leider
sun	zon
journey	reis
tongue	tong
outfit	kleding
non	niet
wall	muur
economy	economie
farm	boerderij
universe	universum
sub	sub
pantyhose	panty
artwork	kunstwerk
artist	kunstenaar
place	plaats
town	stad
crowd	menigte
profession	beroep
area	gebied
surface	oppervlak
entity	entiteit
garden	tuin
writer	schrijver
battery	batterij
secretary	secretaris
soul	ziel
wound	wond
crack	spleet
book	boek
institution	instelling
dream	droom
father	vader
computer	computer
hip	heup
finger	vinger
interval	interval
mouth	mond
section	rubriek
crystal	kristal
box	vak
phenomenon	verschijnsel
com	com
aircraft	vliegtuigen
printer	printer
door	deur
pre	pre
edge	rand
rock	rock
camp	kamp
guitar	gitaar
word	woord
corporation	corporatie
career	carrière
cream	room
community	gemeenschap
sailing	zeilen
lifetime	levensduur
body	het lichaam
image	beeld
piano	piano
curve	curve
epidemic	epidemie
era	tijdperk
con	con
sequence	sequentie
slide	dia
classroom	klas
culture	cultuur
plate	plaat
head	hoofd
vehicle	voertuig
grid	rooster
lawyer	advocaat
industry	industrie
film	film
self	zelfstandige
student	student
ear	oor
pleasure	plezier
cup	Cup
mirror	spiegel
gel	gel
village	dorp
device	apparaat
band	band
university	universiteit
fire	brand
pattern	patroon
television	televisie
thing	ding
button	toets
ad	ad
segment	segment
sport	sport
tumor	tumor
reality	werkelijkheid
graph	grafiek
rat	rat
line	lijn
restaurant	restaurant
park	park
bug	bug
phone	telefoon
casino	Casino
calendar	agenda
skin	huid
album	album
professor	hoogleraar
road	de weg
football	voetbal
bikini	bikini
path	pad
electron	elektron
stream	stream
field	gebied
incident	incident
election	verkiezingen
hair	haar
lingerie	lingerie
teacher	leraar
officer	officier
kitchen	keuken
life	het leven
TV	TV
school	school
island	eiland
stuff	spullen
topic	topic
node	knooppunt
transition	overgang
middle	midden
bed	bed
