original	foreign
creature	Kreatur
cavern	Höhle
tornado	Tornado
diver	Taucher
mushroom	Pilz
atom	Atom
robbery	Raub
banana	Banane
puppet	Marionette
economist	Ökonom
priest	Priester
photograph	Foto
ob	OB
fisherman	Fischer
goo	Schmiere
plane	Flugzeug
beetle	Käfer
cop	Polizist
goat	Ziege
librarian	Bibliothekar
dude	dude
lake	See
prisoner	Häftling
whale	Wal
car	Auto
ship	Schiff
truck	LKW
slice	Scheibe
toddler	Kleinkind
couple	Paar
athlete	Sportler
fish	Fisch
bat	Fledermaus
character	Charakter
bicycle	Fahrrad
eye	Auge
cucumber	Gurke
bridge	Brücke
sheep	Schafe
leaf	Blatt
fountain	Brunnen
wizard	Assistenten
lock	Sperre
cigarette	Zigarette
lamb	Lamm
continent	Kontinent
folder	Ordner
mother	Mutter
arrow	Pfeil
monster	Monster
cutie	cutie
society	Gesellschaft
poster	Plakat
building	Gebäude
bomb	Bombe
item	Artikel
plump	rundlich
necklace	Halskette
rectangle	Rechteck
rebel	Rebell
picture	Bild
sample	Probe
cheerleader	Cheerleader
mouse	Maus
train	Zug
river	Fluss
ruler	Herrscher
motorcycle	Motorrad
molecule	Molekül
map	Karte
sign	Anmelden
city	Stadt
boat	Boot
snow	Schnee
document	Dokument
hero	Held
temple	Tempel
church	Kirche
dancer	Tänzerin
backdrop	Hintergrund
pitcher	Krug
nation	Nation
disk	Festplatte
hand	Hand
spiral	Spirale
cloud	Wolke
chair	Stuhl
quilt	Steppdecke
crown	Krone
beach	Strand
nail	Nagel
vertex	Scheitel
chicken	Huhn
flag	Flagge
egg	Ei
ladder	Leiter
lamp	Lampe
organisation	Organisation
diffraction	Beugung
street	Straße
scream	Schrei
knife	Messer
tomato	Tomate
bride	Braut
passport	Reisepass
friend	Freund
robot	Roboter
company	Unternehmen
landmark	Wahrzeichen
neighborhood	Nachbarschaft
plant	Pflanze
gentleman	Gentleman
product	Produkt
teenager	Teenager
organ	Orgel
king	König
signature	Unterschrift
mask	Maske
particle	Teilchen
seal	Dichtung
lemon	Zitrone
lip	Lippe
bike	Fahrrad
actor	Schauspieler
helicopter	Hubschrauber
enemy	Feind
ball	Kugel
country	Land
hole	Loch
toy	Spielzeug
totem	Totem
forest	Wald
fist	Faust
par	Par
envelope	Umschlag
un	un
cottage	Ferienhaus
room	Zimmer
hurricane	Hurrikan
stamp	Stempel
bullet	bullet
brain	Gehirn
figure	Abbildung
window	Fenster
disc	Disc
pole	Pol
toilet	Toilette
world	Welt
camera	Kamera
target	Ziel
situation	Situation
heart	Herz
smiley	Smiley
organization	Organisation
photographer	Fotograf
bus	Bus
model	Modell
logo	Logo
family	Familie
pond	Teich
destination	Ziel
letter	Schreiben
brand	Marke
region	Region
defect	Defekt
hat	Hut
sword	Schwert
sin	sin
bottle	Flasche
bell	Glocke
element	Element
quantum	Quanten-
page	Seite
flame	Flamme
partition	Partition
point	Punkt
cell	Zelle
CD	CD
murder	Mord
orange	orange
nucleus	Kern
wheel	Rad
photo	Foto
event	Veranstaltung
tank	Tank
candidate	Kandidat
shoe	Schuh
storm	Sturm
haven	Oase
clip	Clip
leg	Bein
underwear	Unterwäsche
table	Tabelle
moment	Moment
leader	Führer
sun	Sonne
journey	Reise
tongue	Zunge
outfit	Outfit
non	nicht
wall	Wand
economy	Wirtschaft
farm	Bauernhof
universe	Universum
sub	sub
pantyhose	Strumpfhose
artwork	Kunstwerk
artist	Künstler
place	Ort
town	Stadt
crowd	Menschenmenge
profession	Beruf
area	Bereich
surface	Oberfläche
entity	Einheit
garden	Garten
writer	Schriftsteller
battery	Batterie
secretary	Sekretärin
soul	Seele
wound	Wunde
crack	Riss
book	Buch
institution	Institution
dream	Traum
father	Vater
computer	Computer
hip	Hüfte
finger	Finger
interval	Intervall
mouth	Mund
section	Abschnitt
crystal	Kristall
box	Box
phenomenon	Phänomen
com	com
aircraft	Flugzeuge
printer	Drucker
door	Tür
pre	vor
edge	Kante
rock	Rock
camp	Lager
guitar	Gitarre
word	Wort
corporation	Gesellschaft
career	Karriere
cream	Sahne
community	Gemeinde
sailing	Segeln
lifetime	Lebensdauer
body	Körper
image	Bild
piano	Klavier
curve	Kurve
epidemic	Epidemie
era	Ära
con	con
sequence	Sequenz
slide	Rutsche
classroom	Klassenzimmer
culture	Kultur
plate	Platte
head	Kopf
vehicle	Fahrzeug
grid	Gitter
lawyer	Rechtsanwalt
industry	Industrie
film	Film
self	Selbst
student	Student
ear	Ohr
pleasure	Vergnügen
cup	Tasse
mirror	Spiegel
gel	Gel
village	Dorf
device	Gerät
band	Band
university	Universität
fire	Feuer
pattern	Muster
television	Fernsehen
thing	Sache
button	Button
ad	Anzeige
segment	Segment
sport	Sport
tumor	Tumor
reality	Realität
graph	Grafik
rat	Ratte
line	Linie
restaurant	Restaurant
park	Park
bug	Bug
phone	Telefon
casino	Casino
calendar	Kalender
skin	Haut
album	Album
professor	Professor
road	Straße
football	Fußball
bikini	Bikini
path	Pfad
electron	Elektron
stream	Stream
field	Feld
incident	Zwischenfall
election	Wahl
hair	Haar
lingerie	Unterwäsche
teacher	Lehrer
officer	Offizier
kitchen	Küche
life	Leben
TV	TV
school	Schule
island	Insel
stuff	Zeug
topic	Thema
node	Knoten
transition	Übergang
middle	Mitte
bed	Bett
